,,,,,title,desc,code,file_list,location,pattern,,
laravel/framework,11101,6838,0.4405,N/A,0.01,-0.0087,0.6144,0.0034,0.4714,0,https://www.github.com/laravel/framework/pull/11101,https://www.github.com/laravel/framework/pull/6838
laravel/framework,1321,351,0.3729,N/A,-0.0083,0,0,1,0.3333,0,https://www.github.com/laravel/framework/pull/1321,https://www.github.com/laravel/framework/pull/351
laravel/framework,12412,9589,0.3388,N/A,0.4131,0.0875,0,0,0,0,https://www.github.com/laravel/framework/pull/12412,https://www.github.com/laravel/framework/pull/9589
laravel/framework,945,453,0.299,N/A,0.4138,0.007,0,0,0,0,https://www.github.com/laravel/framework/pull/945,https://www.github.com/laravel/framework/pull/453
laravel/framework,1845,1459,0.2929,N/A,0.381,0.1232,0,0,0,0,https://www.github.com/laravel/framework/pull/1845,https://www.github.com/laravel/framework/pull/1459
laravel/framework,1456,424,0.2753,N/A,0.3855,0.066,0,0,0,0,https://www.github.com/laravel/framework/pull/1456,https://www.github.com/laravel/framework/pull/424
laravel/framework,6763,4370,0.2683,N/A,0.3959,0.0087,0,0,0,0,https://www.github.com/laravel/framework/pull/6763,https://www.github.com/laravel/framework/pull/4370
laravel/framework,5948,266,0.2476,N/A,0.4015,0.0189,0,0,0,-1,https://www.github.com/laravel/framework/pull/5948,https://www.github.com/laravel/framework/pull/266
laravel/framework,12449,8892,0.2198,N/A,0,0.0428,0,1,0,0,https://www.github.com/laravel/framework/pull/12449,https://www.github.com/laravel/framework/pull/8892
laravel/framework,17230,15718,0.2022,N/A,0.0001,0.0001,0,1,0,0,https://www.github.com/laravel/framework/pull/17230,https://www.github.com/laravel/framework/pull/15718
laravel/framework,10571,10458,0.1445,N/A,0.3081,0,0,0,0,0,https://www.github.com/laravel/framework/pull/10571,https://www.github.com/laravel/framework/pull/10458
laravel/framework,18762,10458,0.1445,N/A,0.3081,0,0,0,0,0,https://www.github.com/laravel/framework/pull/18762,https://www.github.com/laravel/framework/pull/10458
laravel/framework,677,473,0.0546,N/A,-0.0382,-0.0083,0,0.0556,1,0,https://www.github.com/laravel/framework/pull/677,https://www.github.com/laravel/framework/pull/473
